Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Safety_Rating,Units_Sold_2024,Warranty_Years,Cost_Per_Km,Estimated_Revenue
1,Acura,"ZDX (with GM Ultium)",2015,Lithium-titanate,55.80,214,CHAdeMO,9.00,111203.94,"Matte White",UK,5.0,19726,3,519.64,2193608920.44
2,Lamborghini,"Revuelto (PHEV)",2025,Lithium-titanate,90.80,212,"Vehicle-to-Home (V2H)",7.30,127131.65,White,Netherlands,4.0,3349,3,599.68,425763895.85
3,NIO,ET7,2020,Calcium-ion,64.70,235,"Level 2 Charging",8.90,94347.37,Beige,UK,5.0,6300,5,401.48,594388431.00
4,Audi,e-tron,2025,"Lithium-iron phosphate",120.50,140,"Ultra-Fast Charging (350 kW+)",10.50,75615.15,"Sunset Orange",Argentina,5.0,2339,5,540.11,176863835.85
5,Acura,"ZDX (with GM Ultium)",2023,Lithium-titanate,51.80,336,"Plug-in Hydrogen Refueling",3.60,141046.94,"Ice Silver","United Arab Emirates",3.0,1051,4,419.78,148240333.94
6,XPeng,G9,2016,"Lithium-iron phosphate",138.70,390,"Mobile Charging",2.90,89907.75,"Ruby Red",Australia,5.0,8609,5,230.53,774015819.75
7,Jeep,"Recon (upcoming)",2024,Nickel-cobalt-aluminum,67.10,170,"Vehicle-to-Load (V2L)",1.50,35653.97,Orange,Sweden,0.0,12504,5,209.73,445817240.88
8,Changan,Q05,2019,Lead-acid,131.90,105,CCS,8.30,94436.44,Bronze,Mexico,5.0,8630,5,899.39,814986477.20
9,Citroen,Ã«-C4,2023,Aluminum-ion,33.80,420,"Solar Charging",10.20,90919.55,"Metallic Silver",Sweden,5.0,18,5,216.48,1636551.90
10,Rimac,Nevera,2015,Solid-state,140.80,549,"Solar Charging",3.30,58904.59,"Matte Green",UK,0.0,17455,3,107.29,1028179618.45
11,Volkswagen,ID.Buzz,2022,Lead-acid,41.50,370,"Vehicle-to-Grid (V2G)",11.60,141469.62,"Stealth Gray",Denmark,4.0,16959,4,382.35,2399183285.58
12,Jaguar,I-PACE,2018,Solid-state,64.00,401,"Ultra-Fast Charging (350 kW+)",7.30,30862.90,"Cosmic Purple","South Korea",0.0,7798,4,76.96,240668894.20
13,Mini,"Mini Cooper SE",2018,Lead-acid,37.20,578,"Vehicle-to-Load (V2L)",3.30,86756.75,Tan,Denmark,4.0,15303,5,150.10,1327638545.25
14,BMW,iX3,2025,"Flow batteries",32.80,306,"Mobile Charging",9.70,43112.28,"Metallic Silver",Denmark,3.0,2470,4,140.89,106487331.60
15,"Faraday Future","FF 91",2015,"Flow batteries",149.90,528,"Level 1 Charging",11.60,141164.04,"Rose Gold",Belgium,3.0,5394,4,267.36,761438831.76
16,Tesla,"Model Y",2019,Aluminum-ion,121.90,332,"Solar Charging",5.40,144878.12,Burgundy,"United Arab Emirates",3.0,18978,5,436.38,2749496961.36
17,Maserati,"Grecale Folgore",2020,Lithium-ion,26.50,344,NACS,1.20,90939.42,"Rose Gold",Norway,4.0,3928,5,264.36,357210041.76
18,Polestar,"Polestar 2",2024,Solid-state,74.50,398,"Mobile Charging",11.20,54511.10,"Cosmic Purple",Hungary,4.0,10360,3,136.96,564734996.00
19,Tesla,"Model Y",2024,Zinc-air,149.50,137,"Inductive (Wireless) Charging",6.30,45894.79,Teal,China,5.0,9912,5,335.00,454909158.48
20,"Faraday Future","FF 91",2025,Calcium-ion,92.10,577,CCS,11.30,46114.93,Orange,France,5.0,11235,3,79.92,518101238.55
21,Skoda,"Elroq (upcoming)",2019,Lead-acid,83.50,563,"Level 2 Charging",1.60,80829.09,Bronze,Japan,4.0,5294,5,143.57,427909202.46
22,Geely,"Emgrand EV",2021,Lead-acid,21.30,138,CHAdeMO,6.80,130151.40,"Matte Blue","United Arab Emirates",3.0,11724,3,943.13,1525895013.60
